,Index of Roll in AllRollsWildemount.csv,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
1023,7867,C2E067,01:57:37,Jester,Dexterity Save,20,16,,,,
1024,7872,C2E067,01:58:12,Jester,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
1025,7873,C2E067,01:58:12,Jester,Attack,13,4,,,,Handaxe
1026,7885,C2E067,02:03:57,Jester,Dexterity Save,21,17,,,,Against Electrified Mist
1027,7910,C2E067,02:24:27,Jester,Perception,17,13,,,,As eagle
1028,7913,C2E067,02:31:32,Jester,Attack,Unknown,Unknown,,,,Handaxe
1029,7914,C2E067,02:31:32,Jester,Attack,16,8,,,,Handaxe
1030,7915,C2E067,02:31:48,Jester,Damage,6,,,6 to Mist Elemental,,
1031,7926,C2E067,03:15:05,Jester,Initiative,22,18,,,,
1032,7966,C2E067,03:46:08,Jester,Damage,14,,,"14 to Zombies 19-22, 7 to Zombie 23",2,Spirit Guardians
1033,7967,C2E067,03:48:16,Jester,Damage,7,,,7 to Zombies 24-26,,Spirit Guardians
1034,7974,C2E067,03:53:19,Jester,Damage,12,,,12 to Zombie 22,,Sacred Flame
1035,7984,C2E067,04:00:04,Jester,Damage,8,,,"8 to Zombies 18, 22-26",2,Spirit Guardians
1036,7985,C2E067,04:01:49,Jester,Damage,15,,,15 to Zombies 28-30,,Spirit Guardians
1037,7992,C2E067,04:19:22,Jester,Wisdom Save,17,8,,,,Against maddening whispers
1038,8006,C2E068,00:50:53,Jester,Stealth,23,9,,,,with PWaT
1039,8013,C2E068,00:52:03,Jester,Stealth,29,15,,,,with PWaT
1040,8023,C2E068,00:53:34,Jester,Stealth,30,16,,,,with PWaT
1041,8038,C2E068,00:55:35,Jester,Stealth,30,16,,,,with PWaT
1042,8050,C2E068,00:58:15,Jester,Stealth,29,15,,,,with PWaT
1043,8057,C2E068,00:59:23,Jester,Stealth,Unknown,Unknown,,,,disregarded due to disadvantage
1044,8058,C2E068,00:59:23,Jester,Stealth,26,12,,,,with PWaT
1045,8064,C2E068,01:01:10,Jester,Wisdom Save,13,4,,,,
1046,8071,C2E068,01:03:42,Jester,Strength,Unknown,Unknown,,,,disregarded due to advantage
1047,8072,C2E068,01:03:42,Jester,Strength,22,19,,,,
1048,8074,C2E068,01:05:54,Jester,Stealth,24,10,,,,with PWaT
1049,8096,C2E068,01:11:37,Jester,Stealth,19,5,,,,with PWaT
1050,8097,C2E068,01:11:37,Jester,Stealth,Unknown,Unknown,,,,disregarded due to disadvantage
1051,8099,C2E068,01:12:25,Jester,Wisdom Save,19,10,,,,
1052,8113,C2E068,01:15:39,Jester,Wisdom Save,18,9,,,,
1053,8119,C2E068,01:20:07,Jester,Stealth,31,17,,,,with PWaT
1054,8132,C2E068,01:22:43,Jester,Wisdom Save,24,15,,,,
1055,8136,C2E068,01:23:15,Jester,Initiative,11,7,,,,
1056,8145,C2E068,01:31:24,Jester,Dexterity Save,16,12,,3 bludgeoning to Jester,,
1057,8156,C2E068,01:36:09,Jester,Wisdom Save,17,8,,,,
1058,8163,C2E068,01:44:04,Jester,Intelligence,20,19,,,,
1059,8164,C2E068,01:45:50,Jester,Constitution Save,13,11,,,,
1060,8171,C2E068,01:48:19,Jester,Wisdom Save,17,8,,,,
1061,8180,C2E068,01:50:42,Jester,Wisdom Save,24,15,,,,
1062,8188,C2E068,02:38:14,Jester,Survival,15,10,,,,
1063,8193,C2E068,02:45:33,Jester,Perception,8,3,,,,
1064,8240,C2E068,03:32:54,Jester,Perception,24,19,,,,
1065,8252,C2E069,00:28:50,Jester,Hit Dice,Unknown,,,,,Hit DIce
1066,8253,C2E069,00:31:30,Jester,Perception,23,18,,,,
1067,8259,C2E069,00:46:33,Jester,Perception,8,3,,,,
1068,8260,C2E069,00:50:05,Jester,Perception,24,19,,,,
1069,8270,C2E069,00:58:24,Jester,Perception,Nat1,1,,,,
1070,8273,C2E069,01:07:25,Jester,Initiative,24,20,,,,
1071,8290,C2E069,01:24:50,Jester,Attack,6,3,,,,"Magic Whip- no prof, only STR"
1072,8291,C2E069,01:35:36,Jester,Spell Attack,Unknown,Unknown,,,,Spiritual Weapon
1073,8292,C2E069,01:25:44,Jester,Damage,11,,,11 Force to Obann,,
1074,8334,C2E069,02:19:31,Jester,Wisdom Save,25,16,,,,
1075,8335,C2E069,02:21:33,Jester,Mirror Image,Unknown,Unknown,,,,hits Image
1076,8382,C2E069,02:40:16,Jester,Mirror Image,Unknown,Unknown,,,,hits Image
1077,8383,C2E069,02:40:52,Jester,Spell Attack,Nat20,20,,,,Spiritual Weapon
1078,8384,C2E069,02:41:01,Jester,Damage,19,,,19 Force to Shadow Hound 1,,
1079,8385,C2E069,02:42:34,Jester,Acrobatics,17,13,,,,
1080,8386,C2E069,02:43:12,Jester,Mirror Image,Unknown,Unknown,,,,hits Jester
1081,8406,C2E069,03:02:16,Jester,Wisdom Save,16,Unknown,,,,with Bless
1082,8409,C2E069,03:04:28,Jester,Spell Attack,12,3,,,,Spiritual Weapon
1083,8426,C2E069,03:18:25,Jester,Mirror Image,16,16,,,,Jester's last Image is hit
1084,8442,C2E069,03:33:01,Jester,Attack,Unknown,Unknown,,,,disregarded due to advantage
1085,8443,C2E069,03:33:01,Jester,Attack,14,11,,,,Magic Whip against Beau
1086,8445,C2E069,03:34:20,Jester,Healing,6,,,all M9 heal 6 except Yasha,,Mass Healing Word
1087,8455,C2E069,03:43:01,Jester,Attack,Nat1,1,,,,Magic Whip against Yasha
1088,8460,C2E069,03:46:24,Jester,Wisdom Save,16,Unknown,,,,with Bless
1089,8466,C2E069,03:47:16,Jester,Wisdom Save,25,Unknown,,,,with Bless
1090,8472,C2E069,03:47:44,Jester,Wisdom Save,22,Unknown,,,,with Bless
1091,8477,C2E069,03:48:08,Jester,Wisdom Save,15,Unknown,,,,with Bless
1092,8487,C2E069,03:49:07,Jester,Wisdom Save,23,Unknown,,,,with Bless
1093,8490,C2E069,03:51:29,Jester,Spell Attack,16,7,,,,Guiding Bolt
1094,8491,C2E069,03:51:29,Jester,Spell Attack,Unknown,Unknown,,,,disregarded due to disadvantage
1095,8496,C2E069,03:52:03,Jester,Damage,10,,,10 Radiant to Invisible Stalker,,
1096,8497,C2E069,03:53:10,Jester,Damage,16,,,9 Cold to Invisible Stalker,,Hellish Rebuke
1097,8503,C2E069,03:54:06,Jester,Spell Attack,18,9,,,,Guiding Bolt
1098,8504,C2E069,03:54:06,Jester,Spell Attack,Unknown,Unknown,,,,disregarded due to disadvantage
1099,8510,C2E069,03:54:15,Jester,Damage,21,,,21 to Invisible Stalker,,
1100,8511,C2E069,03:54:18,Jester,Damage,24,,,24 to Invisible Stalker,,
1101,8522,C2E070,01:12:03,Jester,Religion,Nat1,1,,,,
1102,8526,C2E070,01:21:01,Jester,Deception,21,16,,,,
1103,8527,C2E070,01:22:42,Jester,Deception,8,3,,,,
1104,8529,C2E070,01:56:56,Jester,Persuasion,Nat20,20,,,,
1105,8537,C2E070,02:54:26,Jester,Insight,7,2,,,,
1106,8543,C2E070,03:49:59,Jester,Perception,24,19,,,,
1107,8545,C2E071,00:15:42,Jester,Healing,11,,,,,Cure Wounds (2nd); Dairon heals 11 points
1108,8549,C2E071,00:53:41,Jester,Perception,Nat20,20,,,,
1109,8552,C2E071,01:29:07,Jester,Deception,7,2,,,,
1110,8568,C2E072,00:27:46,Jester,Perception,23,18,,,,
1111,8575,C2E072,00:42:20,Jester,Strength,6,3,,,,
1112,8577,C2E072,00:56:31,Jester,Perception,11,6,,,,
1113,8583,C2E072,01:07:28,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
1114,8584,C2E072,01:07:28,Jester,Perception,11,7,,,,"With advantage, as giant eagle"
1115,8586,C2E072,01:12:30,Jester,Strength,6,3,,,,As Giant Eagle
1116,8587,C2E072,01:13:57,Jester,Basic Check,18,18,,,,"d20, To grab Beau"
1117,8594,C2E072,02:07:59,Jester,Persuasion,14,9,,,,
1118,8603,C2E073,00:27:40,Jester,Stealth,17,13,,,,
1119,8609,C2E073,00:32:42,Jester,Stealth,7,3,,,,
1120,8616,C2E073,00:40:02,Jester,Initiative,19,15,,,,
1121,8625,C2E073,00:44:36,Jester,Damage,15,,,15 Radiant to Remorhaz,,Spirit Guardians
1122,8627,C2E073,00:47:22,Jester,Constitution Save,14,12,,,,Concentration
1123,8628,C2E073,00:48:36,Jester,Spell Attack,19,10,,,,Inflict Wounds (4th)
1124,8629,C2E073,00:49:16,Jester,Damage,42,,,42 Necrotic to Remorhaz,,
1125,8649,C2E073,01:10:03,Jester,Attack,23,13,,,,Mammoth Stomp
1126,8650,C2E073,01:10:15,Jester,Damage,37,,,37 to Young Remorhaz,,
1127,8651,C2E073,01:10:41,Jester,Attack,28,18,,,,Mammoth Gore
1128,8652,C2E073,01:10:55,Jester,Damage,22,,,22 to Young Remorhaz,1.0,HDYWTDT
1129,8661,C2E073,01:28:45,Jester,Healing,25,,,,,"Cure Wounds (4th); Beau heals 25 points, is conscious"
1130,8676,C2E073,01:42:34,Jester,Spell Attack,25,16,,,,Disregarded due to advantage
1131,8677,C2E073,01:43:34,Jester,Spell Attack,25,16,,,,Guiding Bolt (4th) with advantage
1132,8678,C2E073,01:43:04,Jester,Damage,20,,,20 Radiant to Remorhaz,1.0,HDYWTDT
1133,8681,C2E073,01:52:16,Jester,Athletics,20,17,,,,
1134,8687,C2E073,01:59:33,Jester,Stealth,28,14,,,,With PWaT
1135,8692,C2E073,02:33:25,Jester,Stealth,Nat20,20,,,,With PWaT
1136,8704,C2E073,02:36:27,Jester,Stealth,18,14,,,,
1137,8708,C2E073,02:37:27,Jester,Perception ,8,3,,,,
1138,8713,C2E073,02:38:06,Jester,Stealth,13,9,,,,
1139,8716,C2E073,02:39:57,Jester,Survival,15,10,,,,
1140,8731,C2E073,02:48:11,Jester,Perception ,14,9,,,,
1141,8734,C2E073,02:52:25,Jester,Persuasion,8,7,,,,
1142,8742,C2E073,03:37:18,Jester,Perception ,11,6,,,,
1143,8747,C2E074,00:31:08,Jester,Sleight of Hand,26,18,,,,
1144,8749,C2E074,00:44:57,Jester,Sleight of Hand,27,19,,,,
1145,8753,C2E074,00:55:04,Jester,Perception,15,10,,,,
1146,8764,C2E074,02:02:38,Jester,Sleight of Hand,Unknown,Unknown,,,,disregarded due to advantage
1147,8765,C2E074,02:02:38,Jester,Sleight of Hand,Nat20,20,,,,
1148,8766,C2E074,02:04:38,Jester,Healing,20,,,Caleb heals 20,,Cure Wounds (2nd)
1149,8767,C2E074,02:55:30,Jester,Persuasion,13,8,,,,
1150,8777,C2E074,03:23:02,Jester,Arcana,Unknown,Unknown,,,,disregarded due to disadvantage
1151,8778,C2E074,03:23:02,Jester,Arcana,16,15,,,,
1152,8781,C2E074,03:39:02,Jester,Performance,19,18,,,,
1153,8784,C2E075,00:12:54,Jester,Perception,15,10,,,,
1154,8788,C2E075,00:14:21,Jester,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
1155,8789,C2E075,00:14:21,Jester,Perception,13,8,,,,With disadvantage
1156,8793,C2E075,00:33:19,Jester,Stealth,33,19,,,,With PWaT
1157,8804,C2E075,00:47:25,Jester,Intelligence,3,2,,,,
1158,8806,C2E075,00:50:27,Jester,Perception,14,10,,,,As giant eagle
1159,8817,C2E075,01:14:50,Jester,Initiative,20,16,,,,
1160,8823,C2E075,01:15:42,Jester,Spell Attack,26,17,,,,Inflict Wounds (2nd)
1161,8824,C2E075,01:15:49,Jester,Damage,18,,,18 Necrotic to Yeti 2,,
1162,8842,C2E075,01:30:49,Jester,Spell Attack,24,15,,,,Guiding Bolt (4th)
1163,8843,C2E075,01:31:05,Jester,Damage,24,,,24 Radiant to Yeti 3,1.0,
1164,8864,C2E075,01:44:04,Jester,Stealth,10,6,,,,
1165,8871,C2E075,02:02:05,Jester,Investigation,16,15,,,,
1166,8878,C2E075,02:52:22,Jester,Stealth,10,6,,,,
1167,8889,C2E075,03:18:28,Jester,Perception,23,18,,,,
1168,8890,C2E075,03:29:13,Jester,Performance,20,19,,,,
1169,8892,C2E075,03:33:25,Jester,Perception,23,18,,,,
1170,8894,C2E075,03:35:02,Jester,Dexterity Save,14,10,,3 (7/2) Cold to Jester,,Proximity to cold breath
1171,8897,C2E075,03:38:41,Jester,Strength,Unknown,Unknown,,,,Disregarded due to advantage
1172,8898,C2E075,03:38:41,Jester,Strength,19,16,,,,With advantage
1173,8902,C2E075,03:39:34,Jester,Perception,24,19,,,,
1174,8906,C2E075,03:48:56,Jester,Perception,24,19,,,,
1175,8908,C2E075,03:54:10,Jester,Perception,Nat1,1,,,,
1176,8913,C2E075,03:58:52,Jester,Stealth,29,15,,,,With PWaT
1177,8922,C2E076,00:30:47,Jester,Perception,17,12,,,,
1178,8926,C2E076,00:43:31,Jester,Attack,14,9,,,,Vineball (Dex)
1179,8930,C2E076,00:50:12,Jester,Deception,Nat1,1,,,,
1180,8933,C2E076,01:14:45,Jester,Perception,17,12,,,,
1181,8939,C2E076,01:31:55,Jester,Perception,13,12,,,,As bat
1182,8949,C2E076,02:41:20,Jester,Stealth,Nat1,1,,,,Disregarded due to advantage
1183,8950,C2E076,02:41:20,Jester,Stealth,Unknown,Unknown,,,,With advantage and PWaT
1184,8960,C2E076,02:46:12,Jester,Perception,18,13,,,,
1185,8961,C2E076,02:47:08,Jester,Athletics,19,16,,,,
1186,8968,C2E076,02:51:03,Jester,Athletics,5,2,,,,
1187,8979,C2E076,03:15:44,Jester,Dexterity,22,18,,,,
1188,8980,C2E076,03:16:01,Jester,Strength,21,18,,,,
1189,8991,C2E076,03:29:42,Jester,Perception,10,5,,,,
1190,9004,C2E076,03:53:10,Jester,Wisdom,16,11,,,,
1191,9008,C2E076,03:55:03,Jester,Stealth,Nat1,1,,,,with PWaT
1192,9010,C2E076,03:57:03,Jester,Intelligence,13,12,,,,
1193,9027,C2E077,00:39:20,Jester,Investigation,10,9,,,,
1194,9030,C2E077,01:15:13,Jester,Attack,20,13,,,,Shield against Scourger
1195,9032,C2E077,01:17:56,Jester,Healing,12,,,Caleb heals 12,,Cure Wounds (2nd)
1196,9036,C2E077,02:00:38,Jester,Strength,12,Unknown,,,,with Guidance
1197,9037,C2E077,02:05:27,Jester,Arcana,12,Unknown,,,,with Guidance
1198,9038,C2E077,02:06:19,Jester,Deception,Nat1,1,,,,
1199,9043,C2E077,03:43:00,Jester,Perception,19,14,,,,
1200,9044,C2E077,03:44:05,Jester,Perception,9,4,,,,
1201,9053,C2E078,00:39:59,Jester,Dexterity,14,Unknown,,,,with Guidance
1202,9057,C2E078,00:53:55,Jester,Perception,7,2,,,,
1203,9064,C2E078,01:07:58,Jester,Dexterity,22,Unknown,,,,with Guidance
1204,9065,C2E078,01:07:58,Jester,Dexterity,Unknown,Unknown,,,,disregarded due to advantage
1205,9070,C2E078,01:13:33,Jester,Investigation,14,13,,,,
1206,9073,C2E078,01:30:32,Jester,Perception,8,3,,,,
1207,9074,C2E078,01:33:04,Jester,Deception,24,19,,,,
1208,9080,C2E078,01:43:55,Jester,Medicine,16,Unknown,,,,with Guidance
1209,9084,C2E078,01:51:12,Jester,Perception,22,Unknown,,,,with Guidance
1210,9103,C2E078,02:56:20,Jester,Investigation,Nat1,1,,,,
1211,9104,C2E078,02:57:32,Jester,Sleight of Hand,20,12,,,,
1212,9111,C2E078,03:08:57,Jester,Perception,Unknown,Unknown,,,,disregarded due to advantage
1213,9112,C2E078,03:08:57,Jester,Perception,19,14,,,,
1214,9113,C2E078,03:11:08,Jester,Insight,Unknown,Unknown,,,,disregarded due to advantage
1215,9114,C2E078,03:11:08,Jester,Insight,19,14,,,,
1216,9115,C2E078,03:11:58,Jester,Perception,Unknown,Unknown,,,,disregarded due to advantage
1217,9116,C2E078,03:11:58,Jester,Perception,17,12,,,,
1218,9122,C2E078,03:36:21,Jester,Constitution Save,11,9,,,,
1219,9126,C2E078,03:47:44,Jester,Constitution Save,7,5,,,,
1220,9128,C2E078,03:56:16,Jester,Persuasion,11,6,,,,
1221,9130,C2E078,04:00:28,Jester,Intimidation,10,Unknown,,,,with Guidance
1222,9133,C2E079,00:18:48,Jester,Survival,19,14,,,,
1223,9143,C2E079,00:48:25,Jester,Survival,Unknown,Unknown,,,,
1224,9144,C2E079,00:48:25,Jester,Survival,24,19,,,,
1225,9156,C2E079,01:21:59,Jester,Perception,14,9,,,,
1226,9159,C2E079,02:14:14,Jester,Perception,19,14,,,,
1227,9160,C2E079,02:16:40,Jester,Perception,Unknown,Unknown,,,,disregarded due to advantage
1228,9161,C2E079,02:16:40,Jester,Perception,15,10,,,,
1229,9162,C2E079,02:18:22,Jester,Perception,Unknown,Unknown,,,,disregarded due to advantage
1230,9163,C2E079,02:18:22,Jester,Perception,17,12,,,,
1231,9165,C2E079,02:20:49,Jester,Perception,19,14,,,,
1232,9166,C2E079,02:21:49,Jester,Perception,Nat1,1,,,,
1233,9171,C2E079,02:26:24,Jester,Acrobatics,14,Unknown,,,,with Guidance
1234,9180,C2E079,02:28:42,Jester,Stealth,35,21,,,,with PWaT
1235,9201,C2E079,03:12:43,Jester,Initiative,19,15,,,,
1236,9208,C2E079,03:29:30,Jester,Survival Check,25,20,,,,
1237,9220,C2E079,03:41:27,Jester,Stealth Check,24,Unknown,,,,with Guidance
1238,9226,C2E079,03:48:20,Jester,Initiative,18,14,,,,
1239,9252,C2E080,00:23:07,Jester,Performance,3,2,,,,
1240,9253,C2E080,00:23:07,Jester,Performance,Unknown,Unknown,,,,disregarded due to disadvantage
1241,9260,C2E080,01:09:21,Jester,Other,32,,,,,Percentile Dice to see if Sending reaches Yussa
1242,9265,C2E080,01:22:37,Jester,Investigation,6,5,,,,
1243,9272,C2E080,02:07:03,Jester,Perception,10,Unknown,,,,with Guidance
1244,9279,C2E080,02:15:58,Jester,Acrobatics,13,9,,,,
1245,9290,C2E080,02:29:08,Jester,Initiative,15,11,,,,
1246,9304,C2E080,02:38:27,Jester,Spell Attack,20,11,,,,Spiritual Weapon against Froghemoth
1247,9305,C2E080,02:38:37,Jester,Damage,11,,,11 to Froghemoth,,
1248,9315,C2E080,02:50:58,Jester,Constitution Save,5,3,,,,
1249,9327,C2E080,02:59:17,Jester,Spell Attack,21,12,,,,Spiritual Weapon against Froghemoth
1250,9328,C2E080,02:59:30,Jester,Damage,6,,,6 Force to Froghemoth,,
1251,9329,C2E080,02:59:48,Jester,Spell Attack,27,18,,,,Inflict Wounds against Froghemoth
1252,9330,C2E080,02:59:56,Jester,Damage,20,,,20 Necrotic to Froghemoth,1.0,HDYWTDT
1253,9358,C2E080,03:27:54,Jester,Hit Dice,26,,,,,
1254,9362,C2E081,00:22:34,Jester,Perception,9,4,,,,
1255,9364,C2E081,00:27:33,Jester,Initiative,20,16,,,,
1256,9373,C2E081,00:46:21,Jester,Initiative,20,16,,,,
1257,9383,C2E081,01:01:43,Jester,Strength,9,6,,,,
1258,9387,C2E081,01:12:48,Jester,Perception,14,9,,,,
1259,9399,C2E081,01:31:04,Jester,Initiative,23,19,,,,
1260,9433,C2E081,02:00:27,Jester,Performance,8,7,,,,
1261,9434,C2E081,02:01:38,Jester,Spell Attack,25,16,,,,Spiritual Weapon against Golem
1262,9435,C2E081,02:01:38,Jester,Spell Attack,Unknown,Unknown,,,,disregarded due to advantage
1263,9436,C2E081,02:01:42,Jester,Damage,11,Unknown,,11 force to Golem,,
1264,9443,C2E081,02:05:18,Jester,Dexterity Save,6,2,,49 Lightning to Jester,,
1265,9464,C2E081,02:14:31,Jester,Spell Attack,20,11,,,,Spiritual Weapon against Golem
1266,9465,C2E081,02:14:36,Jester,Damage,10,Unknown,,10 force to Golem,,
1267,9469,C2E081,02:16:28,Jester,Constitution Save,12,10,,20 cold to Jester,,
1268,9485,C2E081,02:21:57,Jester,Spell Attack,Nat1,1,,,,Spiritual Weapon against Golem
1269,9486,C2E081,02:22:14,Jester,Spell Attack,13,4,,,,Inflict Wounds (2rd) against Golem
1270,9495,C2E081,03:02:35,Jester,Investigation,8,Unknown,,,,with Guidance
1271,9506,C2E081,03:52:09,Jester,Strength,20,17,,,,with Guidance
1272,9507,C2E081,03:52:09,Jester,Strength,Unknown,Unknown,,,,disregarded due to advantage
1273,9526,C2E082,01:13:50,Jester,Initiative,13,9,,,,
1274,9549,C2E082,00:30:09,Jester,Spell Attack,17,8,,,,Guiding Bolt against Clone
1275,9579,C2E082,00:54:38,Jester,Spell Attack,25,16,,,,Guiding Bolt against Clone
1276,9580,C2E082,00:54:56,Jester,Damage,26,,,26 Radiant to Clone,,Clone goes unconscious (HDYWTDT)
1277,9581,C2E082,00:58:55,Jester,Damage,20,,,20 Cold to Clone,,Clone goes unconscious (HDYWTDT)
1278,9583,C2E082,01:00:10,Jester,Healing,11,,,Caduceus heals 11,,
1279,9587,C2E082,01:03:34,Jester,Spell Attack,23,14,,,,Guiding Bolt against Clone
1280,9588,C2E082,01:03:44,Jester,Damage,16,,,16 radiant to Clone,,Clone goes unconscious (HDYWTDT)
1281,9591,C2E082,01:04:40,Jester,Intelligence,17,16,,,,
1282,9602,C2E082,01:06:49,Jester,Attack,Unknown,Unknown,,,,Disregarded due to advantage
1283,9603,C2E082,01:06:49,Jester,Attack,16,8,,,,Handaxe against Clone
1284,9606,C2E082,01:16:01,Jester,Investigation,16,15,,,,
1285,9607,C2E082,01:16:20,Jester,Hit Dice,11,,,Jester heals 11,,
1286,9621,C2E082,01:36:39,Jester,Investigation,Nat20,20,,,,
1287,9622,C2E082,02:17:00,Jester,Initiative,22,,,,,
1288,9628,C2E082,02:19:03,Jester,Other,32,,,,,Divine Intervention
1289,9633,C2E082,02:28:41,Jester,Strength Save,17,,,,,Against Tendril
1290,9639,C2E082,02:31:06,Jester,Spell Attack,16,,,,,Spiritual Weapon
1291,9640,C2E082,02:31:12,Jester,Damage,20,,,20 Force to Tendril,,
1292,9649,C2E082,02:38:10,Jester,Constitution Save,Unknown,Unknown,,,,Concentration
1293,9650,C2E082,02:39:05,Jester,Strength Save,9,,,,,Against Tendril with Bless
1294,9652,C2E082,02:41:01,Jester,Constitution Save,10,,,,,Concentration
1295,9658,C2E082,02:43:55,Jester,Spell Attack,23,,,,,Spiritual Weapon
1296,9659,C2E082,02:44:01,Jester,Damage,17,,,17 to Tendril,1.0,
1297,9660,C2E082,02:44:50,Jester,Spell Attack,22,,,,,Guiding Bolt (1st)
1298,9661,C2E082,02:45:00,Jester,Damage,11,,,11 Radiant to Tendril,,
1299,9678,C2E082,02:54:06,Jester,Spell Attack,23,,,,,Spiritual Weapon
1300,9679,C2E082,02:54:13,Jester,Other,3,,,,,Bless
1301,9680,C2E082,02:54:23,Jester,Damage,14,,,14 to Cage,,
1302,9681,C2E082,02:55:13,Jester,Damage,3,,,3 Radiant to Tendril,,Sacred Flame
1303,9687,C2E082,03:04:41,Jester,Strength Save,10,,,,,Against Tendril with Bless
1304,9695,C2E082,03:07:08,Jester,Spell Attack,23,,,,,Spiritual Weapon
1305,9696,C2E082,03:07:14,Jester,Other,4,,,,,Bless
1306,9697,C2E082,03:07:23,Jester,Constitution Save,Unknown,Unknown,,,,Concentration
1307,9698,C2E082,03:07:29,Jester,Damage,17,,,17 to Tendril,1.0,
1308,9714,C2E082,03:15:17,Jester,Spell Attack,29,,,,,Spiritual Weapon
1309,9715,C2E082,03:15:21,Jester,Damage,10,,,10 Force to Cage,,
1310,9716,C2E082,03:17:00,Jester,Damage,20,,,10 (20/2) Radiant to Cage,,Dawn
1311,9732,C2E082,03:24:33,Jester,Constitution Save,Unknown,Unknown,,,,"Concentration, succeeds"
1312,9733,C2E082,03:24:58,Jester,Strength Save,12,,,,,"Against Tendril, fails"
1313,9734,C2E082,03:25:09,Jester,Constitution Save,Unknown,Unknown,,,,"Concentration, fails"
1314,9739,C2E082,03:26:29,Jester,Spell Attack,Nat20,20,Y,,,Spiritual Weapon
1315,9740,C2E082,03:26:36,Jester,Damage,15,,,15 Force to Cage,,Cage Shatters
1316,9741,C2E082,03:27:09,Jester,Spell Attack,27,,,,,Guiding Bolt (4th)
1317,9742,C2E082,03:27:44,Jester,Damage,30,,,30 Radiant to Heart,,
1318,9757,C2E082,03:51:53,Jester,Other,23,,,,,Divine Intervention
1319,9762,C2E082,04:16:31,Jester,Investigation,3,,,,,
1320,9767,C2E083,00:17:30,Jester,Investigation,6,5,,,,
1321,9774,C2E083,00:43:44,Jester,Medicine,Unknown,Unknown,,,,Disregarded due to advantage
1322,9775,C2E083,00:43:44,Jester,Medicine,23,18,,,,With advantage and with Guidance
1323,9787,C2E083,01:59:10,Jester,Strength,12,9,,,,As Giant Eagle
1324,9790,C2E083,02:45:10,Jester,Perception,13,8,,,,
1325,9804,C2E083,03:29:12,Jester,Healing,Unknown,Unknown,,,,Cure Wounds (4th)
1326,9807,C2E083,03:36:13,Jester,Performance,8,3,,,,
1327,9808,C2E083,03:36:30,Jester,Strength,15,12,,,,
1328,9811,C2E083,03:41:07,Jester,Deception,Nat1,1,,,,
1329,9820,C2E084,01:05:48,Jester,Perception,11,6,,,,
1330,9822,C2E084,01:17:24,Jester,Perception,8,3,,,,
1331,9823,C2E084,01:17:30,Jester,Intelligence,16,15,,,,
1332,9825,C2E084,01:21:57,Jester,Constitution Save,5,3,,,,Jester passes out
1333,9834,C2E084,03:05:51,Jester,Persuasion,Nat20,20,,,,with Guidance
1334,9838,C2E084,03:38:34,Jester,Insight,21,16,,,,
1335,9843,C2E085,00:11:48,Jester,Initiative,13,9,,,,
1336,9867,C2E085,00:54:16,Jester,Damage,15,,,15 to Caedogeist,,Spirit Guardians
1337,9889,C2E085,01:00:26,Jester,Spell Attack,Nat1,1,,,,Inflict Wounds (5th) against Caedogeist
1338,9890,C2E085,01:00:50,Jester,Spell Attack,11,2,,,,Spiritual Weapon (4th) against Caedogeist
1339,9897,C2E085,01:10:18,Jester,Healing,13,,,Nott heals 13,,Cure Wounds (3rd) to Nott
1340,9900,C2E085,01:12:21,Jester,Perception,20,15,,,,
1341,9909,C2E085,01:19:12,Jester,Spell Attack,15,6,,,,Inflict Wounds (5th) against Caedogeist
1342,9915,C2E085,01:28:56,Jester,Dexterity,6,2,,,,
1343,9933,C2E085,02:07:20,Jester,Insight,7,2,,,,
1344,9939,C2E085,02:29:32,Jester,Perception,20,15,,,,
1345,9951,C2E085,04:08:28,Jester,Perception,21,16,,,,
1346,9961,C2E86,00:30:08,Jester,Perception,Unknown,Unknown,,,,disregarded due to disadvantage
1347,9962,C2E86,00:30:08,Jester,Perception,20,Unknown,,,,with Guidance
1348,9969,C2E86,00:47:28,Jester,Initiative,24,20,,,,
1349,9974,C2E86,00:50:07,Jester,Stealth,14,10,,,,
1350,9975,C2E86,00:51:53,Jester,Spell Attack,27,18,,,,Spiritual Weapon against Cultist
1351,9976,C2E86,00:52:03,Jester,Damage,8,,,8 to Cultist,,
1352,9994,C2E86,01:20:04,Jester,Spell Attack,20,11,,,,Spiritual Weapon against Demon
1353,9995,C2E86,01:20:12,Jester,Damage,9,,,9 to Demon,,
1354,9996,C2E86,01:20:50,Jester,Spell Attack,20,11,,,,Guiding Bolt (4th) against Respa
1355,9997,C2E86,01:21:32,Jester,Damage,24,,,24 to Respa,,
1356,10033,C2E86,01:58:48,Jester,Spell Attack,24,15,,,,Guiding Bolt (4th) against Obann
1357,10034,C2E86,01:59:13,Jester,Damage,22,,,22 to Obann,,
1358,10035,C2E86,01:59:40,Jester,Spell Attack,19,10,,,,Spiritual Weapon against Demon
1359,10036,C2E86,01:59:46,Jester,Damage,8,,,8 to Demon,1.0,Demon dies
1360,10068,C2E86,02:25:00,Jester,Constitution Save,,17,,,,
